id;question;options;correctAnswer;Category
1;Which ITIL guiding principle recommends using existing services, processes and tools when improving services?;['Progress iteratively with feedback', 'Keep is simple and practical', 'Start where you are', 'Focus on value'];Start where you are;guiding principle
2;Which practice has a purpose that includes ensuring that risks have been properly assessed?;['Service configuration management', 'Problem management', 'Service level management', 'Change control'];Change control;chenge
3;When should a full risk assessment and authorization be carried out for a standard change?;['Each time the standard change is implemented', 'When the procedure for the standard change is created', 'At least once a year', 'When an emergency change is requested'];When the procedure for the standard change is created;chenge
4;Which statement about emergency changes is CORRECT?;['The testing of emergency can be eliminated in order to implement the change quickly', 'The assessment and authorization of emergency changes is expedited to ensure they can be implemented quickly', 'Emergency changes should be authorized and implemented as service requests', 'Emergency changes must be fully documented before authorization and implementation'];The assessment and authorization of emergency changes is expedited to ensure they can be implemented quickly;problem/incident/emergency
5;Which practice coordinates the classification, ownership and communication of service requests and incidents?;['Supplier management', 'Service desk', 'Problem management', 'Relationship management'];Service desk;service desk
6;What is warranty?;['Assurance that a product or service will meet agreed requirements', 'The amount of money spent on a specific activity or resource', 'The functionality offered by a product or service to meet a particular need', 'The perceived benefits, usefulness and importance of something'];Assurance that a product or service will meet agreed requirements;service
7;Which is part of service provision?;['The management of resources configured to deliver the service', 'The management of resources needed to consume the service', 'The grouping of one or more services based on one or more products', 'The joint activities performed to ensure continual value co-creation'];The management of resources configured to deliver the service;management
8;Which statement about a 'continual improvement register' is CORRECT?;['It should be managed at the senior level of the organization', 'It should be used to capture user demand', 'There should only be one for the whole organization', 'It should be re-prioritized as ideas are documented'];It should be re-prioritized as ideas are documented;guiding principle
9;What are 'engage', 'plan' and 'improve' examples of?;['Service value chain activities', 'Service level management', 'Service value chain inputs', 'Change control'];Service value chain activities;value chain
10;Which statement about outcomes is CORRECT?;['An outcome can be enabled by more than one output', 'Outcomes are how the service performs', 'An output can be enabled by one or more outcomes', 'An outcome is a tangible or intangible activity'];An outcome can be enabled by more than one output;service
11;Which statement about service desks is CORRECT?;['The service desk should work in close collaboration with support and development teams', 'The service desk should rely on self-service portals instead of escalation to support teams', 'The service desk should remain isolated from technical support teams', 'The service desk should escalate all technical issues to support and development teams'];The service desk should work in close collaboration with support and development teams;service desk
12;Which practice updates information relating to symptoms and business impact?;['Service level management', 'Change control', 'Service request management', 'Incident management'];Incident management;problem/incident/emergency
13;Which is included in the purpose of the 'design and transition' value chain activity?;['Ensuring that service components are available when needed', 'Providing transparency and good stakeholder relationships', 'Supporting services according to specifications', 'Continually meeting stakeholder expectations for costs'];Continually meeting stakeholder expectations for costs;value chain
14;Which practice has a purpose to support the quality of the service by handling all agreed user initiated service requests?;['Change control', 'IT asset management', 'Service desk', 'Service request management'];Service request management;service desk
15;Which is NOT a component of the service value system?;['The guiding principles', 'Governance', 'Practices', 'The four dimensions of service management'];The four dimensions of service management;management
16;Which statement about the steps to fulfill a service request is CORRECT?;['They should be complex and detailed', 'They should be well-known and proven', 'They should include incident handling', 'They should be brief and simple'];They should be well-known and proven;service
17;Which guiding principle recommends eliminating activities that do not contribute to the creation of value?;['Start where you are', 'Collaborate and promote visibility', 'Keep it simple and practical', 'Optimize and automate'];Keep it simple and practical;guiding principle
18;When should the effectiveness of a problem workaround be assessed?;['Whenever the workaround is used', 'Whenever the problem is resolved', 'Whenever the workaround becomes a known error', 'Whenever the problem is prioritized'];Whenever the workaround is used;problem/incident/emergency
19;Identify the missing word in the following sentence.<br>A change is defined as the addition, modification, or removal of anything that could have a direct or indirect effect on [?].;['assets', 'values', 'elements', 'services'];services;chenge
20;Which dimension considers how knowledge assets should be protected?;['Organizations and people', 'Partners and suppliers', 'Information and technology', 'Value streams and processes'];Information and technology;service
21;What is a means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks?;['Service management', 'Continual improvement', 'A service', 'An IT asset'];A service;service
22;Identify the missing words in the following sentence.<br>The management of information security incidents usually requires [?].;['Immediate escalation', 'Specialist teams', 'A separate process', 'Third party support'];A separate process;problem/incident/emergency
23;What are the ITIL guiding principles used for?;"['To help an organization make good decisions', 'To direct and control an organization', 'To identify activities that an organization must perform in order to deliver a valuable service', ""To ensure that an organization's performance continually meets stakeholders' expectations""]";To help an organization make good decisions;guiding principle
24;Which is the CORRECT approach for managing a large improvement initiative as smaller iterations?;['Each iteration should be designed before starting the initiative and implemented without feedback', 'Feedback should only be taken into account when one iteration fails to meet its objective', 'Feedback should be reduced for large improvements as it is unlikely that circumstances will change', 'Each iteration should be continually re-evaluated based on feedback'];Each iteration should be continually re-evaluated based on feedback;guiding principle
25;What is the purpose of the 'deployment management' practice?;['To ensure services achieve agreed and expected performance', 'To make new or changed services available for use', 'To move new or changed components to live environments', 'To set clear business-based targets for service performance'];To move new or changed components to live environments;management
26;Which is a service request?;['Requesting a workaround for an issue', 'Requesting information about how to create a document', 'Requesting an enhancement to an application', 'Requesting investigation of a degraded service'];Requesting information about how to create a document;service
27;Identify the missing word in the following sentence.<br>The purpose of the supplier management practice is to ensure that the organization's suppliers and their [?] are managed appropriately to support the seamless provision of quality products and services.;['costs', 'users', 'value', 'performances'];performances;management
28;What is a recommendation of the 'focus on value' guiding principle?;"[""Make 'focus on value' a responsibility of the management"", 'Focus on the value of new and significant projects first', 'Focus on value for the service provider first', 'Focus on value at every step of the improvement']";Focus on value at every step of the improvement;guiding principle
29;Which guiding principle recommends standardizing and streamlining manual tasks?;['Optimize and automate', 'Collaborate and promote visibility', 'Focus on value', 'Think and work holistically'];Optimize and automate;guiding principle
30;Which describes a set of defined steps for implementing improvements?;"[""The 'improve' value chain activity"", ""The 'continual improvement register'"", ""The 'continual improvement model'"", ""The 'engage' value chain activity""]";The 'continual improvement model';guiding principle
31;Which is a key requirement for a successful service level agreement?;"['It should be written in legal language', 'It should be simply written and easy to understand', ""It should be based on the service provider's view of the service"", 'It should relate to simple operational metrics']";It should be simply written and easy to understand;service
32;When planning 'continual improvement', which approach for assessing the current state of a service is CORRECT?;['An organization should always use a single technique to ensure metrics are consistent', 'An organization should always use a strength, weakness, opportunity and threat (SWOT) analysis', 'An organization should always develop competencies in methodologies and techniques that will meet their needs', 'An organization should always use an approach that combines Lean, Agile and DevOps methodologies'];An organization should always develop competencies in methodologies and techniques that will meet their needs;guiding principle
33;How does a service consumer contribute to the reduction of disk?;['By paying for the service', 'By managing server hardware', 'By communicating constraints', 'By managing staff availability'];By communicating constraints;service
